neighborhood,price,layout,bathrooms,square_footage
Financial District,3995.00,1 Bedroom,1 Bathroom,822
Midtown,2990.00,Studio,1 Bathroom,585
East Village,4500.00,1 Bedroom,1 Bathroom,1100
Noho,3400.00,1 Bedroom,1 Bathroom,850
Midtown,2695.00,Studio,1 Bathroom,440
NoMad,6000.00,1 Bedroom,1 Bathroom,855
Bushwick,1750.00,2 Bedroom,1 Bathroom,1000
Midtown East,4800.00,2 Bedroom,2 Bathroom,1000
Parkchester,1200.00,Studio,1 Bathroom,550
Tribeca,18500.00,3 Bedroom,3 Bathroom,2208
West Village,5448.00,2 Bedroom,1.5 Bathroom,900
Greenwich Village,4995.00,1 Bedroom,1 Bathroom,900
Clinton Hill,3095.00,2 Bedroom,2 Bathroom,1136
Park Slope,2800.00,1 Bedroom,1 Bathroom,1300
East Village,2495.00,Studio,1 Bathroom,500
East Village,3865.00,1 Bedroom,1 Bathroom,1
DUMBO,4500.00,1 Bedroom,1.5 Bathroom,1161
Upper East Side,3400.00,1 Bedroom,1 Bathroom,850
Carroll Gardens,4200.00,2 Bedroom,2 Bathroom,1455
Upper West Side,11500.00,1 Bedroom,1 Bathroom,1026
Flatiron,5600.00,2 Bedroom,1 Bathroom,1300
Upper East Side,8300.00,3 Bedroom,2 Bathroom,1400
Flatiron,5495.00,1 Bedroom,1 Bathroom,901
Upper East Side,2300.00,1 Bedroom,1 Bathroom,550
Lower East Side,3500.00,1 Bedroom,1 Bathroom,947
Downtown Brooklyn,5000.00,1 Bedroom,1 Bathroom,843
Soho,3050.00,1 Bedroom,1 Bathroom,340
Midtown East,4600.00,1 Bedroom,1 Bathroom,1100
Williamsburg,2500.00,1 Bedroom,1 Bathroom,750
Brighton Beach,2425.00,2 Bedroom,2 Bathroom,1113
Midtown West,8500.00,2 Bedroom,2 Bathroom,1442
Murray Hill,2300.00,Studio,1 Bathroom,500
Midtown,3601.00,1 Bedroom,1 Bathroom,683
Upper East Side,4595.00,1 Bedroom,1 Bathroom,1000
Crown Heights,1700.00,2 Bedroom,1 Bathroom,800
Union Square,3200.00,1 Bedroom,1 Bathroom,725
West Village,3595.00,1 Bedroom,1 Bathroom,700
Greenwich Village,3000.00,Studio,1 Bathroom,500
Flatiron,9000.00,2 Bedroom w/ HO,2.5 Bathroom,1700
Riverdale,2900.00,3 Bedroom,1 Bathroom,1400
Soho,9000.00,2 Bedroom,1 Bathroom,1300
Upper West Side,2950.00,1 Bedroom,1 Bathroom,700
Financial District,4995.00,2 Bedroom,2 Bathroom,1181
Upper East Side,2200.00,1 Bedroom,1 Bathroom,600
Midtown West,5550.00,2 Bedroom,2 Bathroom,1048
East Flatbush,5000.00,3 Bedroom,2 Bathroom,1845
Upper West Side,2800.00,1 Bedroom,1 Bathroom,636
Harlem,2900.00,2 Bedroom,1.5 Bathroom,953
Upper East Side,6500.00,3 Bedroom,2 Bathroom,1410
Upper East Side,3050.00,1 Bedroom,1 Bathroom,650
Upper East Side,3900.00,1 Bedroom,1 Bathroom,877
Columbia Street Waterfront,2650.00,1 Bedroom,1 Bathroom,564
Williamsburg,2700.00,1 Bedroom,1 Bathroom,645
Tribeca,6250.00,3 Bedroom,2 Bathroom,1150
Downtown Brooklyn,2525.00,1 Bedroom,1 Bathroom,612
Midtown East,3500.00,1 Bedroom,1 Bathroom,800
West Village,15500.00,3 Bedroom,3.5 Bathroom,3300
Midtown East,2950.00,1 Bedroom,1 Bathroom,720
Park Slope,2350.00,1 Bedroom,1 Bathroom,625
Midtown West,3200.00,1 Bedroom,1 Bathroom,700
Upper West Side,4000.00,2 Bedroom,1 Bathroom,1000
Upper West Side,11500.00,3 Bedroom,3 Bathroom,2075
Upper East Side,2496.00,Studio,1 Bathroom,554
Harlem,2500.00,2 Bedroom,1 Bathroom,850
Upper West Side,6000.00,1 Bedroom,1.5 Bathroom,984
East Village,7000.00,2 Bedroom,1.5 Bathroom,1400
East Village,3900.00,2 Bedroom,1 Bathroom,900
Harlem,2425.00,2 Bedroom,1 Bathroom,1000
Washington Heights,2350.00,2 Bedroom,1 Bathroom,750
Upper West Side,9667.00,3 Bedroom,2 Bathroom,1700
Upper West Side,4800.00,2 Bedroom,2 Bathroom,900
Flatiron,10500.00,3 Bedroom,2.5 Bathroom,2350
Bedford-Stuyvesant,2450.00,2 Bedroom,2 Bathroom,1900
Greenpoint,2446.00,2 Bedroom,1 Bathroom,1000
Flatiron,8900.00,2 Bedroom,2 Bathroom,1495
Brooklyn Heights,4900.00,1 Bedroom,1 Bathroom,1216
Chelsea,12500.00,3 Bedroom,3 Bathroom,2200
East Harlem,2450.00,1 Bedroom w/ HO,1 Bathroom,816
Midtown,3476.00,1 Bedroom,1 Bathroom,683
Soho,12900.00,2 Bedroom,2 Bathroom,1440
Upper West Side,2250.00,Studio,1 Bathroom,500
Cobble Hill,4500.00,2 Bedroom,2 Bathroom,1008
Financial District,6000.00,2 Bedroom,1 Bathroom,1450
Midtown West,2200.00,1 Bedroom,1 Bathroom,650
Midtown East,2500.00,Studio,1 Bathroom,373
Upper East Side,22000.00,4 Bedroom,4 Bathroom,2650
Upper East Side,10500.00,2 Bedroom,2 Bathroom,1459
NoMad,3300.00,1 Bedroom,1 Bathroom,675
Morningside Heights,3800.00,3 Bedroom,1 Bathroom,1100
Union Square,2795.00,Studio,1 Bathroom,451
Financial District,6450.00,2 Bedroom,2 Bathroom,1244
Murray Hill,1920.00,1 Bedroom,1 Bathroom,600
Cobble Hill,3500.00,2 Bedroom,1 Bathroom,1100
Upper West Side,2450.00,1 Bedroom,1 Bathroom,600
Upper East Side,5295.00,2 Bedroom,2 Bathroom,971
East Harlem,1995.00,Studio,1 Bathroom,600
Upper West Side,3000.00,1 Bedroom,1 Bathroom,726
Greenpoint,3950.00,2 Bedroom w/ HO,1.5 Bathroom,1200
Soho,2300.00,Studio,1 Bathroom,725
Midtown West,4595.00,2 Bedroom,2 Bathroom,1122
Murray Hill,5500.00,1 Bedroom,1 Bathroom,1100
Upper West Side,25000.00,3 Bedroom,3.5 Bathroom,2094
Upper East Side,3900.00,1 Bedroom,1 Bathroom,746
Midtown West,5700.00,2 Bedroom,2 Bathroom,1333
Upper East Side,5000.00,1 Bedroom,1 Bathroom,919
Park Slope,4100.00,2 Bedroom,2 Bathroom,1110
Harlem,5250.00,3 Bedroom,2.5 Bathroom,1800
Greenwich Village,10000.00,2 Bedroom,2 Bathroom,1265
Upper West Side,2995.00,1 Bedroom,1 Bathroom,650
Tribeca,22000.00,3 Bedroom,3.5 Bathroom,2177
Tribeca,15500.00,3 Bedroom,3.5 Bathroom,2300
Upper East Side,2700.00,1 Bedroom,1 Bathroom,700
Bushwick,2950.00,1 Bedroom,1 Bathroom,760
Harlem,2200.00,1 Bedroom,1 Bathroom,700
East New York,2100.00,3 Bedroom,1 Bathroom,1000
Astoria,2950.00,3 Bedroom,1 Bathroom,1100
Tribeca,14000.00,2 Bedroom,2.5 Bathroom,1515
Downtown Brooklyn,4115.00,2 Bedroom,2 Bathroom,1132
Tribeca,9500.00,2 Bedroom,2 Bathroom,1300
East Village,3100.00,1 Bedroom,1 Bathroom,750
Midtown East,7750.00,2 Bedroom,2.5 Bathroom,1367
East Village,4750.00,3 Bedroom,1 Bathroom,704
Soho,10000.00,2 Bedroom w/ HO,2 Bathroom,2000
Park Slope,4200.00,2 Bedroom,1 Bathroom,1000
Battery Park City,8000.00,2 Bedroom,2 Bathroom,1439
Midtown,3500.00,Studio,1 Bathroom,500
Murray Hill,3667.00,3 Bedroom,1 Bathroom,1000
Upper West Side,3500.00,1 Bedroom,1 Bathroom,900
Williamsburg,4995.00,2 Bedroom,2 Bathroom,1184
Windsor Terrace,2700.00,3 Bedroom,1 Bathroom,950
Prospect Heights,2550.00,2 Bedroom,1 Bathroom,700
East Harlem,2600.00,3 Bedroom,1 Bathroom,850
Financial District,3650.00,Studio,1 Bathroom,698
Upper East Side,3500.00,1 Bedroom,1 Bathroom,800
Soho,20000.00,3 Bedroom,3.5 Bathroom,3167
Upper West Side,10500.00,3 Bedroom,3 Bathroom,1740
East Village,2470.00,1 Bedroom,1 Bathroom,500
Tribeca,25000.00,3 Bedroom,3.5 Bathroom,2800
Midtown East,3300.00,1 Bedroom,1 Bathroom,736
Brighton Beach,2540.00,2 Bedroom,2 Bathroom,1086
Downtown Brooklyn,2300.00,1 Bedroom,1 Bathroom,820
Greenwich Village,5400.00,1 Bedroom,1 Bathroom,925
Kensington,1650.00,1 Bedroom,1 Bathroom,600
East Village,5600.00,2 Bedroom,1.5 Bathroom,1464
Upper East Side,4200.00,1 Bedroom,2 Bathroom,1100
Upper East Side,2300.00,Studio,1 Bathroom,417
Woodside,2800.00,3 Bedroom,1 Bathroom,2000
Downtown Brooklyn,2500.00,1 Bedroom,1 Bathroom,606
Harlem,3200.00,4 Bedroom,2 Bathroom,1700
Midtown,9500.00,2 Bedroom,2 Bathroom,1248
Midtown,3750.00,1 Bedroom,1 Bathroom,700
Bedford-Stuyvesant,2300.00,1 Bedroom,1 Bathroom,862
Upper West Side,3025.00,1 Bedroom,1 Bathroom,675
Lefferts,2200.00,2 Bedroom,1 Bathroom,1000
Carroll Gardens,4450.00,2 Bedroom,2 Bathroom,1143
Upper East Side,3100.00,1 Bedroom,1 Bathroom,630
Stuyvesant Town,4151.00,2 Bedroom,1 Bathroom,960
Flatiron,9500.00,2 Bedroom,2 Bathroom,1198
Financial District,4250.00,1 Bedroom,1 Bathroom,704
Gramercy,2700.00,Studio,1 Bathroom,430
Downtown Brooklyn,1875.00,Studio,1 Bathroom,404
Bedford-Stuyvesant,2099.00,Studio,1 Bathroom,900
East Williamsburg,2350.00,1 Bedroom w/ HO,1 Bathroom,950
Upper East Side,2250.00,Studio,1 Bathroom,450
Upper West Side,3100.00,1 Bedroom,1 Bathroom,695
Williamsburg,7500.00,3 Bedroom,3 Bathroom,2200
Park Slope,3600.00,2 Bedroom,1 Bathroom,1100
Upper East Side,3500.00,1 Bedroom,1 Bathroom,1000
Upper East Side,2700.00,Studio,1 Bathroom,525
Park Slope,2150.00,1 Bedroom,1 Bathroom,900
Little Italy,15000.00,3 Bedroom,3 Bathroom,2164
Clinton Hill,3100.00,4 Bedroom,3 Bathroom,3800
Greenwich Village,6700.00,1 Bedroom w/ HO,2 Bathroom,1350
Flatiron,6300.00,1 Bedroom,1.5 Bathroom,1050
Park Slope,2450.00,1 Bedroom,1 Bathroom,850
Windsor Terrace,1450.00,Studio,1 Bathroom,507
Midtown,8500.00,2 Bedroom,2 Bathroom,1350
Clinton Hill,3250.00,2 Bedroom,2 Bathroom,1075
Tribeca,14000.00,3 Bedroom,3 Bathroom,1973
Harlem,4800.00,2 Bedroom,2 Bathroom,1336
Park Slope,2600.00,2 Bedroom,1 Bathroom,1000
Bedford-Stuyvesant,1675.00,2 Bedroom,1 Bathroom,750
Hudson Heights,1625.00,Studio,1 Bathroom,475
Upper West Side,13995.00,3 Bedroom,3 Bathroom,2415
Midtown West,2300.00,1 Bedroom,1 Bathroom,800
Upper East Side,11000.00,3 Bedroom,3 Bathroom,2350
Upper West Side,7749.00,3 Bedroom,3 Bathroom,1740
Upper East Side,3300.00,1 Bedroom,1 Bathroom,884
DUMBO,4600.00,2 Bedroom,2 Bathroom,1030
Brooklyn Heights,4750.00,1 Bedroom,1 Bathroom,1020
Harlem,2467.00,1 Bedroom,1 Bathroom,661
Upper East Side,2500.00,2 Bedroom,1 Bathroom,800
Greenwich Village,2495.00,Studio,1 Bathroom,500
Upper West Side,4900.00,2 Bedroom,2 Bathroom,1080
Upper East Side,7000.00,2 Bedroom,2 Bathroom,1300
Bedford-Stuyvesant,2300.00,2 Bedroom,1 Bathroom,650
DUMBO,8900.00,3 Bedroom,3 Bathroom,1656
Lower East Side,6950.00,2 Bedroom,2.5 Bathroom,1400
Tribeca,23000.00,4 Bedroom,4.5 Bathroom,2924
Harlem,1650.00,1 Bedroom,1 Bathroom,500
Flatiron,2450.00,Studio,1 Bathroom,400
East Village,4800.00,1 Bedroom,1 Bathroom,746
Upper East Side,2975.00,Studio,1 Bathroom,650
Williamsburg,4300.00,2 Bedroom,2 Bathroom,907
Midtown West,2625.00,1 Bedroom,1 Bathroom,650
Bedford-Stuyvesant,2050.00,2 Bedroom,1 Bathroom,785
Morningside Heights,2000.00,1 Bedroom,1 Bathroom,600
Midtown East,18950.00,3 Bedroom,3.5 Bathroom,2840
DUMBO,4300.00,2 Bedroom,1 Bathroom,1227
Vinegar Hill,3530.00,Studio,1 Bathroom,988
Astoria,2295.00,1 Bedroom,1 Bathroom,640
Upper West Side,7500.00,3 Bedroom,2 Bathroom,1546
Greenpoint,1650.00,Jr 1 Bedroom,1 Bathroom,325
South Williamsburg,3100.00,1 Bedroom,1 Bathroom,709
Upper West Side,2550.00,Studio,1 Bathroom,414
Brighton Beach,2575.00,2 Bedroom,2 Bathroom,1060
Midtown East,4400.00,3 Bedroom,1 Bathroom,1200
Brooklyn Heights,4695.00,2 Bedroom,2 Bathroom,972
Upper West Side,2950.00,1 Bedroom,1 Bathroom,645
Upper West Side,3800.00,1 Bedroom,2 Bathroom,791
Downtown Brooklyn,3495.00,1 Bedroom,1 Bathroom,807
Midtown East,2990.00,Studio,1 Bathroom,533
Chelsea,5800.00,1 Bedroom,1.5 Bathroom,900
Washington Heights,2700.00,2 Bedroom,1 Bathroom,937
Williamsburg,2600.00,1 Bedroom,1 Bathroom,800
Murray Hill,7950.00,2 Bedroom,2.5 Bathroom,1168
Upper West Side,3450.00,1 Bedroom,1 Bathroom,694
Soho,4500.00,1 Bedroom,1 Bathroom,650
Midtown,4100.00,1 Bedroom,1 Bathroom,729
South Williamsburg,3200.00,1 Bedroom,1 Bathroom,717
Upper East Side,6700.00,2 Bedroom,2 Bathroom,1200
Lower East Side,3695.00,2 Bedroom,1 Bathroom,1100
Midtown West,5500.00,1 Bedroom,1 Bathroom,900
Harlem,3250.00,2 Bedroom w/ HO,1 Bathroom,1250
Greenpoint,3057.00,1 Bedroom,1 Bathroom,750
Astoria,3518.00,3 Bedroom,2 Bathroom,1252
Astoria,1800.00,1 Bedroom,1 Bathroom,680
Upper West Side,3600.00,1 Bedroom,1 Bathroom,851
Red Hook,3850.00,1 Bedroom,1 Bathroom,1700
Brighton Beach,1800.00,1 Bedroom,1 Bathroom,690
Midtown,5150.00,1 Bedroom,1 Bathroom,1000
Murray Hill,2700.00,1 Bedroom,1 Bathroom,650
Midtown East,3000.00,1 Bedroom,1 Bathroom,600
Lefferts,2250.00,2 Bedroom,2 Bathroom,1050
West Village,5500.00,2 Bedroom,2 Bathroom,1100
Midtown,3100.00,Studio,1 Bathroom,426
Bedford-Stuyvesant,2250.00,2 Bedroom,1 Bathroom,1100
Upper West Side,8500.00,3 Bedroom,2 Bathroom,1660
Midtown,2500.00,Studio,1 Bathroom,416
Soho,8500.00,1 Bedroom,1 Bathroom,1300
West Village,22000.00,3 Bedroom,2 Bathroom,2800
Midtown East,4500.00,2 Bedroom,2 Bathroom,1200
Rego Park,3500.00,2 Bedroom,2 Bathroom,1333
Williamsburg,3000.00,1 Bedroom w/ HO,1 Bathroom,950
Upper East Side,6995.00,2 Bedroom,2 Bathroom,1027
Clinton Hill,5250.00,3 Bedroom,2.5 Bathroom,2000
Park Slope,2450.00,1 Bedroom,1 Bathroom,875
Financial District,2775.00,Studio,1 Bathroom,529
West Village,3450.00,1 Bedroom,1 Bathroom,525
Chelsea,5395.00,1 Bedroom,1.5 Bathroom,792
Boerum Hill,3800.00,2 Bedroom,2 Bathroom,930
Brooklyn Heights,3100.00,1 Bedroom,1 Bathroom,712
Midtown West,3600.00,1 Bedroom,1 Bathroom,770
Boerum Hill,3500.00,3 Bedroom,1.5 Bathroom,1000
Long Island City,3300.00,1 Bedroom,2 Bathroom,1289
Midtown West,3500.00,1 Bedroom,1 Bathroom,713
Park Slope,3600.00,1 Bedroom,1 Bathroom,1113
Tribeca,13000.00,1 Bedroom,2 Bathroom,1800
Murray Hill,18000.00,4 Bedroom,3 Bathroom,3500
Park Slope,3500.00,2 Bedroom,1 Bathroom,927
Gowanus,3750.00,2 Bedroom,2 Bathroom,1200
Harlem,2700.00,1 Bedroom,1 Bathroom,742
Flushing,1600.00,1 Bedroom,1 Bathroom,722
Soho,6400.00,3 Bedroom,2 Bathroom,1800
East Village,4200.00,1 Bedroom,1 Bathroom,572
Downtown Brooklyn,8000.00,2 Bedroom,3 Bathroom,1455
Upper West Side,5800.00,2 Bedroom,2 Bathroom,1091
Bedford-Stuyvesant,1600.00,Studio,1 Bathroom,750
Chelsea,4500.00,1 Bedroom,1 Bathroom,850
Tribeca,4850.00,1 Bedroom,1 Bathroom,750
Tribeca,36000.00,4 Bedroom,4 Bathroom,3412
Upper West Side,3150.00,1 Bedroom,1 Bathroom,650
Murray Hill,2575.00,Studio,1 Bathroom,502
East Harlem,2400.00,1 Bedroom,1 Bathroom,620
Upper West Side,3500.00,1 Bedroom,1 Bathroom,800
Upper East Side,4925.00,1 Bedroom,1 Bathroom,1000
Astoria,2450.00,2 Bedroom,1 Bathroom,0
Upper West Side,3500.00,2 Bedroom,1 Bathroom,940
Upper East Side,2600.00,1 Bedroom,1 Bathroom,645
Lower East Side,3100.00,1 Bedroom,1 Bathroom,800
Noho,2700.00,Studio,1 Bathroom,450
Bedford-Stuyvesant,2250.00,1 Bedroom,2 Bathroom,942
Midtown,2300.00,Studio,1 Bathroom,400
Midtown,6250.00,1 Bedroom,1 Bathroom,776
Upper West Side,8000.00,2 Bedroom,2 Bathroom,1089
South Williamsburg,6500.00,3 Bedroom,2 Bathroom,1460
Chelsea,9000.00,2 Bedroom,2 Bathroom,2600
Williamsburg,2675.00,Studio,1 Bathroom,462
Long Island City,2925.00,1 Bedroom,1 Bathroom,692
Soho,10000.00,2 Bedroom,2 Bathroom,1163
Astoria,3100.00,2 Bedroom,2 Bathroom,1169
Astoria,1850.00,1 Bedroom,1 Bathroom,700
Upper East Side,4125.00,Studio,1 Bathroom,420
Harlem,2200.00,1 Bedroom,1 Bathroom,687
Midtown,6000.00,1 Bedroom,1.5 Bathroom,999
Upper West Side,1975.00,1 Bedroom,1 Bathroom,500
Midtown,3800.00,1 Bedroom,1 Bathroom,583
East Harlem,1995.00,1 Bedroom,1 Bathroom,720
Chelsea,9999.00,2 Bedroom,2 Bathroom,1760
Greenwich Village,5900.00,1 Bedroom w/ HO,2 Bathroom,960
Chelsea,6495.00,2 Bedroom,1 Bathroom,1400
Midtown,12500.00,3 Bedroom,3 Bathroom,1588
Park Slope,3199.00,2 Bedroom,1 Bathroom,1200
Williamsburg,2950.00,1 Bedroom,1 Bathroom,653
Midtown East,2700.00,1 Bedroom,1 Bathroom,750
Park Slope,3400.00,2 Bedroom w/ HO,1 Bathroom,1000
Greenpoint,2000.00,Jr 1 Bedroom,1 Bathroom,650
Upper West Side,4700.00,1 Bedroom,1.5 Bathroom,923
Upper East Side,2750.00,2 Bedroom,1 Bathroom,750
Flushing,1350.00,Studio,1 Bathroom,550
East Village,3850.00,2 Bedroom,1 Bathroom,700
Financial District,5600.00,2 Bedroom,2 Bathroom,1387
Financial District,3795.00,2 Bedroom,1 Bathroom,750
Midtown West,2400.00,1 Bedroom,1 Bathroom,400
Tribeca,13250.00,3 Bedroom,3 Bathroom,1967
Midtown East,4950.00,1 Bedroom,1.5 Bathroom,877
Midtown East,4400.00,2 Bedroom,2 Bathroom,1100
Upper West Side,8250.00,3 Bedroom,3 Bathroom,1380
Crown Heights,7000.00,6+ Bedroom,3 Bathroom,4000
Park Slope,3600.00,3 Bedroom,1.5 Bathroom,900
Upper East Side,2150.00,1 Bedroom,1 Bathroom,615
Park Slope,3275.00,2 Bedroom,2 Bathroom,1000
Upper West Side,5000.00,2 Bedroom,1 Bathroom,950
Upper East Side,7500.00,2 Bedroom,2 Bathroom,1100
Midtown West,10000.00,2 Bedroom,2 Bathroom,1551
Midtown East,3295.00,1 Bedroom,1 Bathroom,700
Greenwich Village,12250.00,2 Bedroom,2 Bathroom,1535
Prospect Heights,3000.00,2 Bedroom,1 Bathroom,750
Midtown East,8500.00,2 Bedroom,2.5 Bathroom,1600
Upper West Side,1800.00,Studio,1 Bathroom,445
Upper East Side,6000.00,1 Bedroom,1 Bathroom,950
Midtown West,4995.00,Studio,1 Bathroom,2400
Upper East Side,13000.00,2 Bedroom,2.5 Bathroom,1689
Tudor City,3200.00,1 Bedroom,1 Bathroom,600
Chelsea,5595.00,1 Bedroom,1 Bathroom,1089
Harlem,4300.00,2 Bedroom,2 Bathroom,1070
Gramercy,4200.00,1 Bedroom,1 Bathroom,800
Chelsea,6000.00,2 Bedroom,1 Bathroom,861
Noho,7400.00,3 Bedroom,1 Bathroom,2000
Upper East Side,2099.00,1 Bedroom,1 Bathroom,575
Upper West Side,7400.00,2 Bedroom,2 Bathroom,1330
Murray Hill,9100.00,2 Bedroom,2 Bathroom,1612
Clinton Hill,3000.00,2 Bedroom,2 Bathroom,1400
Flushing,2100.00,2 Bedroom,1 Bathroom,1250
Park Slope,4900.00,3 Bedroom,1 Bathroom,1450
Soho,18000.00,5 Bedroom,3 Bathroom,3600
Harlem,2750.00,2 Bedroom,1 Bathroom,950
Greenpoint,2800.00,1 Bedroom,1 Bathroom,722
Midtown,5850.00,2 Bedroom w/ HO,2 Bathroom,1554
Tribeca,6000.00,1 Bedroom,1 Bathroom,1025
Astoria,1825.00,1 Bedroom,1 Bathroom,650
Upper West Side,4350.00,2 Bedroom,1.5 Bathroom,1450
Financial District,3350.00,1 Bedroom,1 Bathroom,798
Williamsburg,2780.00,2 Bedroom,1 Bathroom,750
Little Italy,9000.00,2 Bedroom,2 Bathroom,1229
Tribeca,18500.00,3 Bedroom,2 Bathroom,3627
Chelsea,2950.00,Studio,1 Bathroom,500
Chelsea,3900.00,1 Bedroom,1 Bathroom,665
Midtown,3850.00,1 Bedroom,1 Bathroom,770
Upper East Side,17500.00,2 Bedroom,2 Bathroom,3000
Park Slope,2100.00,2 Bedroom,1 Bathroom,700
Harlem,3500.00,3 Bedroom,2 Bathroom,1200
Noho,7000.00,2 Bedroom,2 Bathroom,2400
East Village,5000.00,2 Bedroom,1 Bathroom,1400
Lower East Side,3250.00,1 Bedroom,1 Bathroom,726
Upper East Side,25500.00,3 Bedroom,3.5 Bathroom,2390
Flatiron,7000.00,2 Bedroom,1 Bathroom,1600
Murray Hill,3195.00,1 Bedroom,1 Bathroom,520
Chelsea,5000.00,1 Bedroom,1 Bathroom,679
Chelsea,4600.00,1 Bedroom,1 Bathroom,775
Soho,8000.00,2 Bedroom,2 Bathroom,1650
Upper West Side,3695.00,1 Bedroom,1.5 Bathroom,744
Ditmas Park,2700.00,3 Bedroom,1 Bathroom,1200
Park Slope,2000.00,1 Bedroom,1 Bathroom,600
Noho,16000.00,2 Bedroom,2 Bathroom,2300
Greenwich Village,3600.00,1 Bedroom,1 Bathroom,700
East Village,3500.00,1 Bedroom,1 Bathroom,522
Upper West Side,3695.00,3 Bedroom,1 Bathroom,1100
Upper West Side,5995.00,3 Bedroom,2 Bathroom,1500
Chelsea,7660.00,2 Bedroom,2 Bathroom,1004
Financial District,2150.00,Studio,1 Bathroom,500
Upper West Side,6200.00,3 Bedroom,2 Bathroom,1700
Upper East Side,3725.00,1 Bedroom,1 Bathroom,850
Bensonhurst,1600.00,2 Bedroom,1 Bathroom,750
Cobble Hill,4975.00,3 Bedroom,2 Bathroom,1175
Brighton Beach,2600.00,2 Bedroom,2 Bathroom,1081
Midtown,5495.00,1 Bedroom,1 Bathroom,991
Fort Greene,2799.00,1 Bedroom,1 Bathroom,614
Long Island City,2750.00,1 Bedroom,1 Bathroom,700
Upper East Side,5500.00,2 Bedroom,2 Bathroom,1076
Harlem,1900.00,1 Bedroom,1 Bathroom,530
Upper East Side,6500.00,3 Bedroom,2 Bathroom,1500
Upper West Side,2450.00,1 Bedroom,1 Bathroom,500
Bushwick,2650.00,2 Bedroom,1 Bathroom,1078
Tribeca,160001.00,3 Bedroom,3 Bathroom,1866
Greenwood Heights,2500.00,2 Bedroom,1 Bathroom,800
Murray Hill,2590.00,Studio,1 Bathroom,427
Midtown East,2195.00,1 Bedroom,1 Bathroom,750
Sunset Park,2600.00,3 Bedroom,1 Bathroom,1100
Upper East Side,8750.00,2 Bedroom,2 Bathroom,1670
Murray Hill,3500.00,1 Bedroom,1 Bathroom,610
Fort Greene,11000.00,4 Bedroom,3.5 Bathroom,3243
Williamsburg,2875.00,1 Bedroom,1 Bathroom,600
Boerum Hill,3595.00,1 Bedroom,1 Bathroom,715
Williamsburg,2000.00,1 Bedroom,1 Bathroom,1050
Williamsburg,3800.00,2 Bedroom,1 Bathroom,1135
Midtown,7750.00,2 Bedroom,2.5 Bathroom,1546
Upper West Side,8500.00,3 Bedroom,2 Bathroom,1660
Midtown East,8500.00,2 Bedroom,2 Bathroom,1350
Upper East Side,2850.00,2 Bedroom,1 Bathroom,10
Boerum Hill,4000.00,3 Bedroom,1 Bathroom,1050
Tudor City,2400.00,Studio,1 Bathroom,400
Park Slope,4800.00,2 Bedroom,2 Bathroom,1641
Midtown,7500.00,2 Bedroom,2 Bathroom,1176
Midtown,5200.00,2 Bedroom,1.5 Bathroom,919
Financial District,2225.00,Studio,1 Bathroom,380
Fort Greene,4600.00,3 Bedroom,2 Bathroom,1518
Carroll Gardens,4000.00,2 Bedroom,2 Bathroom,1085
Lower East Side,4000.00,2 Bedroom,1 Bathroom,800
Windsor Terrace,3000.00,3 Bedroom,1.5 Bathroom,1200
Upper West Side,3300.00,Studio,1 Bathroom,587
Upper East Side,3500.00,1 Bedroom,1 Bathroom,638
Upper West Side,6800.00,2 Bedroom,2 Bathroom,1330
Flatiron,8500.00,2 Bedroom,2 Bathroom,1266
East Williamsburg,3500.00,2 Bedroom,1 Bathroom,1219
Midtown East,3350.00,1 Bedroom,1 Bathroom,750
Midtown West,3000.00,1 Bedroom,1 Bathroom,495
Park Slope,2900.00,2 Bedroom,1 Bathroom,950
Upper West Side,6250.00,3 Bedroom,2 Bathroom,1200
Greenwich Village,2595.00,Studio,1 Bathroom,500
Upper East Side,2300.00,1 Bedroom,1 Bathroom,600
Murray Hill,2000.00,1 Bedroom,1 Bathroom,375
Cobble Hill,5450.00,2 Bedroom,2 Bathroom,1004
Battery Park City,7500.00,2 Bedroom,2 Bathroom,1272
Gowanus,2600.00,1 Bedroom,1 Bathroom,700
West Village,4495.00,1 Bedroom,1 Bathroom,800
Midtown West,16495.00,3 Bedroom,2.5 Bathroom,2418
Downtown Brooklyn,2650.00,Studio,1 Bathroom,510
Greenpoint,2990.00,3 Bedroom,2 Bathroom,1000
Fort Greene,1625.00,Studio,1 Bathroom,350
Murray Hill,7600.00,2 Bedroom,2 Bathroom,1429
Park Slope,3200.00,1 Bedroom,1 Bathroom,1300
West Village,3100.00,Studio,1 Bathroom,575
Prospect Heights,2700.00,3 Bedroom,1 Bathroom,1000
Upper East Side,9250.00,2 Bedroom,2 Bathroom,1700
Murray Hill,2400.00,1 Bedroom,1 Bathroom,600
Upper East Side,10950.00,2 Bedroom,2 Bathroom,1300
Meatpacking,4250.00,1 Bedroom,1 Bathroom,700
Park Slope,2295.00,1 Bedroom,1 Bathroom,475
NoMad,6000.00,1 Bedroom,1 Bathroom,855
Upper East Side,8200.00,2 Bedroom,2 Bathroom,1600
Upper East Side,3150.00,Studio,1 Bathroom,520
Harlem,2800.00,2 Bedroom,2 Bathroom,1070
Greenwich Village,5500.00,1 Bedroom,1 Bathroom,972
Upper East Side,3500.00,1 Bedroom,1 Bathroom,842
Bedford-Stuyvesant,2500.00,1 Bedroom,1 Bathroom,600
Gramercy,2950.00,Studio,1 Bathroom,500
Hudson Yards,2350.00,Studio,1 Bathroom,450
